               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022648,            0.012802,           0.0080938,             0.91963,             0.90171,              0.9621,             0.79069,            0.021646,           0.0057959,           0.0080326,             0.00307,             0.00307,             0.00307
                  37,            0.022256,            0.013069,           0.0083285,             0.93249,             0.91564,              0.9662,             0.79952,            0.021355,           0.0057854,           0.0064005,            0.002872,            0.002872,            0.002872
                  38,            0.022934,            0.012828,            0.008415,             0.94801,             0.91043,             0.96377,             0.80249,            0.021176,           0.0057943,           0.0061957,            0.002674,            0.002674,            0.002674
                  39,            0.021739,            0.012351,            0.006859,             0.93267,             0.91181,             0.96329,             0.80769,            0.019972,           0.0057213,           0.0073489,            0.002476,            0.002476,            0.002476
                  40,            0.021728,            0.012308,           0.0076224,             0.93197,             0.91821,             0.96276,             0.80184,            0.020621,           0.0057258,           0.0073371,            0.002278,            0.002278,            0.002278
                  41,            0.021168,            0.012199,           0.0074182,             0.94336,             0.91315,              0.9665,             0.81277,             0.01991,           0.0057003,           0.0077405,             0.00208,             0.00208,             0.00208
                  42,            0.021275,            0.012143,           0.0066759,             0.94313,             0.92647,             0.96698,             0.81016,            0.020123,           0.0056158,           0.0068765,            0.001882,            0.001882,            0.001882
                  43,            0.020264,            0.011728,            0.006235,              0.9428,             0.92182,             0.96952,             0.81193,            0.019905,             0.00561,           0.0073993,            0.001684,            0.001684,            0.001684
                  44,            0.021056,            0.012058,           0.0061922,             0.94383,             0.92459,             0.97008,             0.81578,            0.019915,           0.0056547,           0.0076252,            0.001486,            0.001486,            0.001486
                  45,            0.020751,            0.011782,           0.0072202,             0.94863,             0.91436,             0.97181,             0.82297,            0.019561,            0.005535,           0.0080345,            0.001288,            0.001288,            0.001288
                  46,            0.020301,             0.01185,           0.0061182,             0.95598,             0.92395,              0.9724,             0.82369,            0.019769,            0.005514,           0.0067365,             0.00109,             0.00109,             0.00109
                  47,            0.019468,            0.011438,           0.0057443,             0.95615,             0.91948,             0.97355,             0.82844,            0.019446,           0.0054714,           0.0068671,            0.000892,            0.000892,            0.000892
                  48,            0.019711,            0.011499,           0.0065721,             0.93131,             0.94326,             0.97182,             0.82658,            0.019087,           0.0054742,           0.0076404,            0.000694,            0.000694,            0.000694
                  49,            0.018772,            0.011369,           0.0059267,             0.94719,             0.92435,             0.97281,             0.82927,            0.019253,           0.0054758,           0.0074484,            0.000496,            0.000496,            0.000496
