ID,Class,SFrame,EFrame,ySF,yEF,SP
2,5,74,108,248,380,19.06
42,5,513,585,247,380,9.0
46,4,712,757,249,381,14.4
57,6,756,797,251,380,15.8
58,5,778,823,247,379,14.4
72,5,807,844,250,382,17.51
74,5,840,881,247,379,15.8
